Name,Notes,Assignee,Status,AI assist
0-1701252719524,It's not a real roadmap currently but rather clustered demand put on roadmap,,3x3,Workshop Note
0-1701252720296,No overall strategy,,3x3,Strategy
0-1701252723123,"Overwhelmed wrt Roll-Out (e.g. in Dev), Engineering can adapt quickly",,3x3,Operations Management
0-1701252737334,"DigiRoadmap: Cosmos, Smart Data Pipeline, GreenOS",,3x3,Technology
0-1701252803136,Engineering - throughout all VC,,3x3,Meeting agenda
0-1701252804206,"Dev, Cons, Ops",,3x3,Workshop agenda
0-1701252805356,"closely tied with HSE, Procurement",,3x3,Workshop agenda
0-1701252806819,160 FTEs -&gt; 300 FTEs going forward,,3x3,Workforce planning
0-1701266956180,"OFF Hub also pushing dig. initiatives, that are currently not displayed on OPEA dig. Roadmap, however relevant for Engineering",,3x3,Workshop Note
0-1701266988287,"GIS will also be big topic for Engineering, as main stakeholder",,3x3,Meeting Notes
0-1701267524928,COSMOS: SPOT,,3x3,Workshop agenda
0-1701268409714,Do we need a Digi Roadmap?,,3x3,Meeting agenda
0-1701268423307,"Yes, otherwise we won´t be able to deliver the growth story, not able to automate, make processes efficients, reflecting the workload in the business",,3x3,Business strategy
0-1701268457587,What is a Digital Roadmap?,,3x3,Workshop
0-1701268468466,"Don´t forget to include business objectives, e.g. OKR",,3x3,Reminder
0-1701268540843,Necessitates full transparency on our objectives!,,3x3,Workshop
0-1701268613979,Needs to be solved first!,,3x3,Priority
0-1701268639560,"In the past, colleagues were too busy and didn´t buy into it",,3x3,Workplace challenges
0-1701269011592,iT IS NOT  a collection of applications incl. rollout plan,,3x3,Workshop agenda
0-1701269056434,"Shold we do process mining, analyze and see improvement potentials?",,3x3,Strategy
0-1701269075521,"Currecntly we wouldn´t be able to, because we don´t have the connection",,3x3,Workshop Note
0-1701269095118,"Could be an argument that this is a business objective: We want to improve our processes. To do that, we need to do Process Mining. To do Process Mininng, we need the connection",,3x3,Business objective
10-1701278000265,There is none,,3x3,Uncategorized
107-1701278000265,BOARD MEMBERS,,3x3,Meeting agenda
108-1701278000265,"Digital Roadmap: Process, systems, digitization of process",,3x3,Strategy
114-1701278000265,"""we want to become a data driven org"" -&gt; what des it mean? What does it entail?",,3x3,Workshop discussion prompt
12-1701278000265,"Looking into the project portfolio within the IT/OT portfolio, DMF -&gt; Digitalization initiatives",,3x3,Workshop agenda
13-1701278000265,,,3x3,
132-1701278000265,leanIX,,3x3,Technology
143-1701278000265,DigiRoamap was not connected to objectives,,3x3,Feedback
20-1701278000265,"Digi Innovation with Shubham, linking BT, BP and Innovation",,3x3,Meeting agenda
21-1701278000265,data driven vs. application driven,,3x3,Technology
25-1701278000265,"Digital Transformation Roadmap includes change WoW, mindset etc.",,3x3,Strategy
42-1701278000265,"be aware that you need to adopt to new tech, trsansform, be curious to learn etc.",,3x3,Workshop advice
44-1701278000265,"Yes, they have",,3x3,Uncategorized
45-1701278000265,Depends on which skill you are talking about,,3x3,Workshop discussion
46-1701278000265,Constantly confronting the taeam: How can we improve stuff?,,3x3,Workshop prompt
47-1701278000265,colleagues tend to think that a digital roadmap is a rollout plan of applications,,3x3,Workshop discussion
49-1701278000265,,,3x3,
52-1701278000265,"Strategy and Architecture, need to be derived from business targets",,3x3,Strategy
53-1701278000265,"PMO, getting the proceses right, improving the project portfolio",,3x3,Project Management
54-1701278000265,"Trainings: Airtable; AI, free foor the team to decide",,3x3,Workshop agenda
56-1701278000265,no structured learning journey,,3x3,Training and Development
6-1701278000265,We should pursue OKR aproach: Derive from business objectives and then think how are we going to achieve that?,,3x3,Strategy
60-1701278000265,lean IX,,3x3,Workshop agenda
62-1701278000265,"SAP, Bee360; PMO Airtable, maybe chatgpt",,3x3,Technology
7-1701278000265,"Data driven; process enhancements.--&gt; what´s the impact of digitalization of WoW of people? Impacts on mindset, change managment",,3x3,Workshop agenda
70-1701278000265,possible to take manual extract from B360 to Airtable,,3x3,Technology
71-1701278000265,"Running correlations, syncs between SAP+operational data, is currently not possible",,3x3,Operations Management
73-1701278000265,they are partially connected,,3x3,Technical issue
76-1701278000265,"SAP, ",,3x3,Technology
77-1701278000265,PMO process (Airtable),,3x3,Project Management
78-1701278000265,Bee360,,3x3,Workshop
8-1701278000265,"Alignment currently by accident : Pressure on business, introduce an application",,3x3,Operations Management
80-1701278000265,rest is fine,,3x3,Feedback
81-1701278000265,Bee360 doesn´t fit our needs,,3x3,Feedback
82-1701278000265,pretty good communication and exchange on digital initiatives,,3x3,Feedback
83-1701278000265,Demand Management Process is nicely digitized and works,,3x3,Operations Management
84-1701278000265,regular catchups with department heads,,3x3,Meeting agenda
86-1701278000265,personal network,,3x3,Networking
9-1701278000265,,,3x3,
93-1701278000265,Org. wide challenges:sometimes it is unclear WHY we are doing things -&gt; people don´t know the impact on the business,,3x3,Feedback
94-1701278000265,not only talk about IT but also OT,,3x3,Workshop Note
95-1701278000265,"Example: If you are not able to cover the onboarding process of new assets, HOW are you going to achieve the growth plans 2030???",,3x3,Workshop feedback
